Centroid,Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),fips_code,src_name,state
"{""type"":""Point"",""coordinates"":[-99.074966224,40.855152494]}","Buffalo County, NE",0.0,200.0,0.0,200.0,200.0,31019,Buffalo,NE
"{""type"":""Point"",""coordinates"":[-94.039760642,41.684857984]}","Dallas County, IA",1300.0,212.0,170.0,382.0,1682.0,19049,Dallas,IA
"{""type"":""Point"",""coordinates"":[-94.348348112,36.628682459]}","McDonald County, MO",0.0,10.0,0.0,10.0,10.0,29119,McDonald,MO
"{""type"":""Point"",""coordinates"":[-85.35556227,32.601136347]}","Lee County, AL",8.0,4.0,16.0,20.0,28.0,1081,Lee,AL
"{""type"":""Point"",""coordinates"":[-120.717645933,39.063431388]}","Placer County, CA",0.0,0.7,0.0,0.7,0.7,6061,Placer,CA
"{""type"":""Point"",""coordinates"":[-84.767953947,33.701894819]}","Douglas County, GA",1326.6,274.5,334.2,608.7,1935.3,13097,Douglas,GA
"{""type"":""Point"",""coordinates"":[-83.371578023,40.29939861]}","Union County, OH",140.0,250.0,80.0,330.0,470.0,39159,Union,OH
"{""type"":""Point"",""coordinates"":[-84.166752624,39.427701099]}","Warren County, OH",0.0,13.7,0.0,13.7,13.7,39165,Warren,OH
"{""type"":""Point"",""coordinates"":[-101.354183029,35.403507871]}","Carson County, TX",0.0,205.0,0.0,205.0,205.0,48065,Carson,TX
"{""type"":""Point"",""coordinates"":[-101.520802191,31.869462705]}","Glasscock County, TX",0.0,200.0,0.0,200.0,200.0,48173,Glasscock,TX
"{""type"":""Point"",""coordinates"":[-101.896944529,34.965857002]}","Randall County, TX",0.0,40.4,0.0,40.4,40.4,48381,Randall,TX
"{""type"":""Point"",""coordinates"":[-68.598877395,46.658837035]}","Aroostook County, ME",0.0,0.2,0.0,0.2,0.2,23003,Aroostook,ME
"{""type"":""Point"",""coordinates"":[-86.894097412,40.388618735]}","Tippecanoe County, IN",0.0,0.5,0.0,0.5,0.5,18157,Tippecanoe,IN
"{""type"":""Point"",""coordinates"":[-94.015561953,41.330714206]}","Madison County, IA",0.0,0.0,40.0,40.0,40.0,19121,Madison,IA
"{""type"":""Point"",""coordinates"":[-81.365625325,40.813918813]}","Stark County, OH",0.0,1.5,221.0,222.5,222.5,39151,Stark,OH
"{""type"":""Point"",""coordinates"":[-77.276218151,38.834573791]}","Fairfax County, VA",272.7,338.4,334.0,672.4,945.1,51610,Falls Church,VA
"{""type"":""Point"",""coordinates"":[-82.23613792,39.737148309]}","Perry County, OH",26.0,24.0,0.0,24.0,50.0,39127,Perry,OH
"{""type"":""Point"",""coordinates"":[-102.637815121,32.30503566]}","Andrews County, TX",0.0,105.0,100.0,205.0,205.0,48003,Andrews,TX
"{""type"":""Point"",""coordinates"":[-86.138472343,39.781709177]}","Marion County, IN",0.0,13.95,0.0,13.95,13.95,18097,Marion,IN
"{""type"":""Point"",""coordinates"":[-83.768102222,31.922929917]}","Crisp County, GA",200.0,0.0,0.0,0.0,200.0,13081,Crisp,GA
"{""type"":""Point"",""coordinates"":[-76.245633695,36.923340132]}","Norfolk city, VA",0.0,0.75,0.0,0.75,0.75,51710,Norfolk,VA
"{""type"":""Point"",""coordinates"":[-100.207574947,34.529201458]}","Childress County, TX",2000.0,750.0,50.0,800.0,2800.0,48075,Childress,TX
"{""type"":""Point"",""coordinates"":[-100.778860652,33.616612114]}","Dickens County, TX",0.0,180.0,0.0,180.0,180.0,48125,Dickens,TX
"{""type"":""Point"",""coordinates"":[-101.8268813,34.07051251]}","Hale County, TX",400.0,0.0,200.0,200.0,600.0,48189,Hale,TX
"{""type"":""Point"",""coordinates"":[-82.576346032,41.470599904]}","Erie County, OH",190.0,0.0,96.0,96.0,286.0,39043,Erie,OH
"{""type"":""Point"",""coordinates"":[-96.687755502,40.784173543]}","Lancaster County, NE",280.0,0.0,40.0,40.0,320.0,31109,Lancaster,NE
"{""type"":""Point"",""coordinates"":[-71.716082466,42.915291506]}","Hillsborough County, NH",0.0,2.6,0.0,2.6,2.6,33011,Hillsborough,NH
"{""type"":""Point"",""coordinates"":[-119.64933287,36.758183695]}","Fresno County, CA",0.0,1.6,0.0,1.6,1.6,6019,Fresno,CA
"{""type"":""Point"",""coordinates"":[-78.01399806,38.246097245]}","Orange County, VA",600.0,0.0,0.0,0.0,600.0,51137,Orange,VA
"{""type"":""Point"",""coordinates"":[-86.46871228,40.050809708]}","Boone County, IN",80.0,0.0,0.0,0.0,80.0,18011,Boone,IN
"{""type"":""Point"",""coordinates"":[-75.129317047,39.328100557]}","Cumberland County, NJ",550.0,0.0,50.0,50.0,600.0,34011,Cumberland,NJ
"{""type"":""Point"",""coordinates"":[-84.023540994,33.961909633]}","Gwinnett County, GA",0.0,94.0,0.0,94.0,94.0,13135,Gwinnett,GA
"{""type"":""Point"",""coordinates"":[-79.91330635,40.912013965]}","Butler County, PA",24.5,15.75,0.0,15.75,40.25,42019,Butler,PA
"{""type"":""Point"",""coordinates"":[-93.341990475,37.258049087]}","Greene County, MO",0.0,1.0,0.0,1.0,1.0,29077,Greene,MO
"{""type"":""Point"",""coordinates"":[-87.631182376,42.325323068]}","Lake County, IL",420.0,0.0,60.0,60.0,480.0,17097,Lake,IL
"{""type"":""Point"",""coordinates"":[-75.592371931,40.612704648]}","Lehigh County, PA",0.0,12.35,0.0,12.35,12.35,42077,Lehigh,PA
"{""type"":""Point"",""coordinates"":[-83.838770507,42.253225349]}","Washtenaw County, MI",0.0,0.74,0.0,0.74,0.74,26161,Washtenaw,MI
"{""type"":""Point"",""coordinates"":[-84.226412078,33.771557258]}","DeKalb County, GA",0.0,19.8,0.0,19.8,19.8,13089,DeKalb,GA
"{""type"":""Point"",""coordinates"":[-85.897602973,39.205970572]}","Bartholomew County, IN",8.0,1.27,0.5,1.77,9.77,18005,Bartholomew,IN
"{""type"":""Point"",""coordinates"":[-77.261787653,36.921731302]}","Sussex County, VA",600.0,0.0,0.0,0.0,600.0,51183,Sussex,VA
"{""type"":""Point"",""coordinates"":[-95.230739106,36.301934479]}","Mayes County, OK",0.0,570.0,0.0,570.0,570.0,40097,Mayes,OK
"{""type"":""Point"",""coordinates"":[-99.11013101,29.355696047]}","Medina County, TX",40.0,60.0,220.0,280.0,320.0,48325,Medina,TX
"{""type"":""Point"",""coordinates"":[-100.812558034,35.401163257]}","Gray County, TX",150.0,0.0,50.0,50.0,200.0,48179,Gray,TX
"{""type"":""Point"",""coordinates"":[-121.167773808,45.160018225]}","Wasco County, OR",0.0,135.0,40.0,175.0,175.0,41065,Wasco,OR
"{""type"":""Point"",""coordinates"":[-83.494286363,41.921377516]}","Monroe County, MI",0.0,0.5,0.0,0.5,0.5,26115,Monroe,MI
"{""type"":""Point"",""coordinates"":[-78.976158188,33.904525277]}","Horry County, SC",10.0,9.0,0.0,9.0,19.0,45051,Horry,SC
"{""type"":""Point"",""coordinates"":[-84.063445098,35.13385712]}","Cherokee County, NC",0.0,104.0,0.0,104.0,104.0,37039,Cherokee,NC
"{""type"":""Point"",""coordinates"":[-96.111994731,41.112926482]}","Sarpy County, NE",5.0,598.05,0.0,598.05,603.05,31153,Sarpy,NE
"{""type"":""Point"",""coordinates"":[-73.742857492,41.765163497]}","Dutchess County, NY",0.0,10.0,0.0,10.0,10.0,36027,Dutchess,NY
"{""type"":""Point"",""coordinates"":[-103.412478126,32.792149347]}","Lea County, NM",0.0,2.0,0.0,2.0,2.0,35025,Lea,NM
"{""type"":""Point"",""coordinates"":[-119.815472705,36.075224688]}","Kings County, CA",80.0,0.0,20.0,20.0,100.0,6031,Kings,CA
"{""type"":""Point"",""coordinates"":[-93.099568025,45.017110732]}","Ramsey County, MN",0.0,4.75,0.0,4.75,4.75,27123,Ramsey,MN
"{""type"":""Point"",""coordinates"":[-100.402168106,32.742820223]}","Fisher County, TX",2000.0,0.0,0.0,0.0,2000.0,48151,Fisher,TX
"{""type"":""Point"",""coordinates"":[-120.031011141,34.538251258]}","Santa Barbara County, CA",0.0,0.75,0.0,0.75,0.75,6083,Santa Barbara,CA
"{""type"":""Point"",""coordinates"":[-73.447035542,41.281004258]}","Western Connecticut Planning Region, CT",10.0,11.8,0.0,11.8,21.8,9001,Fairfield,CT
"{""type"":""Point"",""coordinates"":[-85.707133756,38.477217838]}","Clark County, IN",0.0,0.0,75.0,75.0,75.0,18019,Clark,IN
"{""type"":""Point"",""coordinates"":[-90.623242782,41.637097838]}","Scott County, IA",0.0,6.0,0.0,6.0,6.0,19163,Scott,IA
"{""type"":""Point"",""coordinates"":[-97.832257066,32.429926723]}","Hood County, TX",5000.0,300.0,0.0,300.0,5300.0,48221,Hood,TX
"{""type"":""Point"",""coordinates"":[-123.098321793,45.560084912]}","Washington County, OR",690.0,814.1,75.0,889.1,1579.1,41067,Washington,OR
"{""type"":""Point"",""coordinates"":[-90.307993655,35.205747345]}","Crittenden County, AR",200.0,0.0,0.0,0.0,200.0,5035,Crittenden,AR
"{""type"":""Point"",""coordinates"":[-87.414690388,39.088834684]}","Sullivan County, IN",115.0,0.0,0.0,0.0,115.0,18153,Sullivan,IN
"{""type"":""Point"",""coordinates"":[-84.727839069,38.969866341]}","Boone County, KY",0.0,4.0,0.0,4.0,4.0,21015,Boone,KY
"{""type"":""Point"",""coordinates"":[-104.929337169,39.329785279]}","Douglas County, CO",0.0,74.99,22.5,97.49,97.49,8035,Douglas,CO
"{""type"":""Point"",""coordinates"":[-77.477670544,38.701590675]}","Prince William County, VA",5159.0,1675.4,1070.0,2745.4,7904.4,51153,Prince William,VA
"{""type"":""Point"",""coordinates"":[-106.809062359,34.715458012]}","Valencia County, NM",0.0,230.0,0.0,230.0,230.0,35061,Valencia,NM
"{""type"":""Point"",""coordinates"":[-77.105449206,42.633443702]}","Yates County, NY",0.0,80.0,0.0,80.0,80.0,36123,Yates,NY
"{""type"":""Point"",""coordinates"":[-80.406776217,33.07935254]}","Dorchester County, SC",800.0,0.0,100.0,100.0,900.0,45035,Dorchester,SC
"{""type"":""Point"",""coordinates"":[-84.458732377,38.042321557]}","Fayette County, KY",0.0,2.0,0.0,2.0,2.0,21067,Fayette,KY
"{""type"":""Point"",""coordinates"":[-71.088501481,41.757088651]}","Bristol County, MA",0.0,4.0,0.0,4.0,4.0,25005,Bristol,MA
"{""type"":""Point"",""coordinates"":[-95.392315739,29.857282227]}","Harris County, TX",1262.6,768.12,160.0,928.12,2190.72,48201,Harris,TX
"{""type"":""Point"",""coordinates"":[-74.701752392,40.283437425]}","Mercer County, NJ",0.0,28.0,0.0,28.0,28.0,34021,Mercer,NJ
"{""type"":""Point"",""coordinates"":[-84.284159601,33.260868552]}","Spalding County, GA",300.0,0.0,0.0,0.0,300.0,13255,Spalding,GA
"{""type"":""Point"",""coordinates"":[-89.893999756,35.184250321]}","Shelby County, TN",255.0,424.63,5.0,429.63,684.63,47157,Shelby,TN
"{""type"":""Point"",""coordinates"":[-118.261056479,34.198181904]}","Los Angeles County, CA",118.0,323.7,32.0,355.7,473.7,6037,Los Angeles,CA
"{""type"":""Point"",""coordinates"":[-78.779651838,42.758233986]}","Erie County, NY",0.0,51.0,0.0,51.0,51.0,36029,Erie,NY
"{""type"":""Point"",""coordinates"":[-84.154193865,33.452992116]}","Henry County, GA",140.0,0.0,20.0,20.0,160.0,13151,Henry,GA
"{""type"":""Point"",""coordinates"":[-88.08559445,41.85195559]}","DuPage County, IL",146.0,314.85,191.0,505.85,651.85,17043,DuPage,IL
"{""type"":""Point"",""coordinates"":[-79.757953834,41.400965927]}","Venango County, PA",0.0,83.5,0.0,83.5,83.5,42121,Venango,PA
"{""type"":""Point"",""coordinates"":[-111.92360576,40.667307406]}","Salt Lake County, UT",142.0,296.9,230.0,526.9,668.9,49035,Salt Lake,UT
"{""type"":""Point"",""coordinates"":[-71.089059343,42.984597929]}","Rockingham County, NH",0.0,0.2,0.0,0.2,0.2,33015,Rockingham,NH
"{""type"":""Point"",""coordinates"":[-77.680178362,43.309161107]}","Monroe County, NY",0.0,3.9,0.0,3.9,3.9,36055,Monroe,NY
"{""type"":""Point"",""coordinates"":[-75.141413628,39.717245031]}","Gloucester County, NJ",47.5,0.0,13.3,13.3,60.8,34015,Gloucester,NJ
"{""type"":""Point"",""coordinates"":[-96.777764134,32.766572585]}","Dallas County, TX",2911.2,688.78,605.8,1294.58,4205.78,48113,Dallas,TX
"{""type"":""Point"",""coordinates"":[-77.016299395,38.904774779]}","District of Columbia, DC",0.0,10.04,0.0,10.04,10.04,11001,District of Columbia,DC
"{""type"":""Point"",""coordinates"":[-105.357704508,40.092464825]}","Boulder County, CO",0.0,18.12,0.0,18.12,18.12,8013,Boulder,CO
"{""type"":""Point"",""coordinates"":[-75.357984014,39.57677694]}","Salem County, NJ",200.0,0.0,100.0,100.0,300.0,34033,Salem,NJ
"{""type"":""Point"",""coordinates"":[-97.619919376,29.83684413]}","Caldwell County, TX",96.0,0.0,48.0,48.0,144.0,48055,Caldwell,TX
"{""type"":""Point"",""coordinates"":[-111.344739935,32.904366438]}","Pinal County, AZ",400.0,0.0,0.0,0.0,400.0,4021,Pinal,AZ
"{""type"":""Point"",""coordinates"":[-121.271438444,37.934765184]}","San Joaquin County, CA",50.0,7.0,0.0,7.0,57.0,6077,San Joaquin,CA
"{""type"":""Point"",""coordinates"":[-121.872816494,48.82961521]}","Whatcom County, WA",0.0,1.0,0.0,1.0,1.0,53073,Whatcom,WA
"{""type"":""Point"",""coordinates"":[-118.47840522,46.22984158]}","Walla Walla County, WA",500.0,0.4,0.0,0.4,500.4,53071,Walla Walla,WA
"{""type"":""Point"",""coordinates"":[-83.622977928,41.361707872]}","Wood County, OH",40.0,0.0,40.0,40.0,80.0,39173,Wood,OH
"{""type"":""Point"",""coordinates"":[-91.841585828,39.215755648]}","Audrain County, MO",0.0,10.0,5.0,15.0,15.0,29007,Audrain,MO
"{""type"":""Point"",""coordinates"":[-78.362694204,36.680361004]}","Mecklenburg County, VA",502.5,741.5,278.0,1019.5,1522.0,51117,Mecklenburg,VA
"{""type"":""Point"",""coordinates"":[-81.215070555,35.662042356]}","Catawba County, NC",481.0,223.0,176.0,399.0,880.0,37035,Catawba,NC
"{""type"":""Point"",""coordinates"":[-70.330200628,43.806082106]}","Cumberland County, ME",0.0,4.5,0.0,4.5,4.5,23005,Cumberland,ME
"{""type"":""Point"",""coordinates"":[-71.907726976,42.351394571]}","Worcester County, MA",0.0,6.7,0.0,6.7,6.7,25027,Worcester,MA
"{""type"":""Point"",""coordinates"":[-120.356581555,44.142178618]}","Crook County, OR",5.0,476.0,0.0,476.0,481.0,41013,Crook,OR
"{""type"":""Point"",""coordinates"":[-88.304505642,43.018216628]}","Waukesha County, WI",0.0,4.0,0.0,4.0,4.0,55133,Waukesha,WI
"{""type"":""Point"",""coordinates"":[-78.19371463,43.000923268]}","Genesee County, NY",420.0,0.0,50.0,50.0,470.0,36037,Genesee,NY
"{""type"":""Point"",""coordinates"":[-94.067029853,44.034585168]}","Blue Earth County, MN",0.0,0.6,0.0,0.6,0.6,27013,Blue Earth,MN
"{""type"":""Point"",""coordinates"":[-95.770949621,29.527511419]}","Fort Bend County, TX",0.0,2.0,0.0,2.0,2.0,48157,Fort Bend,TX
"{""type"":""Point"",""coordinates"":[-85.214278645,34.263162691]}","Floyd County, GA",554.0,0.0,50.0,50.0,604.0,13115,Floyd,GA
"{""type"":""Point"",""coordinates"":[-93.535892251,44.648506708]}","Scott County, MN",0.0,3.9,0.0,3.9,3.9,27139,Scott,MN
"{""type"":""Point"",""coordinates"":[-86.784850766,36.169519002]}","Davidson County, TN",0.0,6.4,12.0,18.4,18.4,47037,Davidson,TN
"{""type"":""Point"",""coordinates"":[-122.355663105,37.436211895]}","San Mateo County, CA",5.0,0.3,0.0,0.3,5.3,6081,San Mateo,CA
"{""type"":""Point"",""coordinates"":[-88.218058694,44.08160554]}","Calumet County, WI",0.0,0.0,20.0,20.0,20.0,55015,Calumet,WI
"{""type"":""Point"",""coordinates"":[-71.183829276,42.170979887]}","Norfolk County, MA",0.0,19.0,0.0,19.0,19.0,25021,Norfolk,MA
"{""type"":""Point"",""coordinates"":[-102.723570332,30.78106051]}","Pecos County, TX",300.0,155.0,0.0,155.0,455.0,48371,Pecos,TX
"{""type"":""Point"",""coordinates"":[-86.742366213,41.549021557]}","LaPorte County, IN",100.0,0.0,0.0,0.0,100.0,18091,LaPorte,IN
"{""type"":""Point"",""coordinates"":[-81.634693019,33.544290019]}","Aiken County, SC",0.0,0.0,85.0,85.0,85.0,45003,Aiken,SC
"{""type"":""Point"",""coordinates"":[-110.547561693,41.287491921]}","Uinta County, WY",120.0,0.0,0.0,0.0,120.0,56041,Uinta,WY
"{""type"":""Point"",""coordinates"":[-112.491512065,33.349039473]}","Maricopa County, AZ",5966.0,2159.6,1276.5,3436.1,9402.1,4013,Maricopa,AZ
"{""type"":""Point"",""coordinates"":[-76.194641929,43.005795364]}","Onondaga County, NY",0.0,0.7,0.0,0.7,0.7,36067,Onondaga,NY
"{""type"":""Point"",""coordinates"":[-90.245096838,38.635819116]}","St. Louis city, MO",13.0,32.5,5.0,37.5,50.5,29510,St. Louis,MO
"{""type"":""Point"",""coordinates"":[-77.059127763,37.354350576]}","Charles City County, VA",424.0,0.0,0.0,0.0,424.0,51036,Charles City,VA
"{""type"":""Point"",""coordinates"":[-122.137222672,47.037609058]}","Pierce County, WA",0.0,34.95,0.0,34.95,34.95,53053,Pierce,WA
"{""type"":""Point"",""coordinates"":[-91.420025097,30.879770654]}","West Feliciana Parish, LA",0.0,0.0,200.0,200.0,200.0,22125,West Feliciana,LA
"{""type"":""Point"",""coordinates"":[-70.985606714,42.348689839]}","Suffolk County, MA",0.0,34.6,0.0,34.6,34.6,25025,Suffolk,MA
"{""type"":""Point"",""coordinates"":[-94.346100775,39.00847566]}","Jackson County, MO",0.0,24.5,35.0,59.5,59.5,29095,Jackson,MO
"{""type"":""Point"",""coordinates"":[-121.951034613,37.923413133]}","Contra Costa County, CA",0.0,0.0,99.0,99.0,99.0,6013,Contra Costa,CA
"{""type"":""Point"",""coordinates"":[-84.840338022,34.237661586]}","Bartow County, GA",1200.0,0.0,45.0,45.0,1245.0,13015,Bartow,GA
"{""type"":""Point"",""coordinates"":[-76.61632003,39.44307338]}","Baltimore County, MD",0.0,1.2,0.0,1.2,1.2,24005,Baltimore,MD
"{""type"":""Point"",""coordinates"":[-85.164757582,35.180808315]}","Hamilton County, TN",0.0,1.2,0.0,1.2,1.2,47065,Hamilton,TN
"{""type"":""Point"",""coordinates"":[-106.832721635,32.352648384]}","Doña Ana County, NM",0.0,0.5,0.0,0.5,0.5,35013,Doa Ana,NM
"{""type"":""Point"",""coordinates"":[-100.468737737,46.977452062]}","Burleigh County, ND",0.0,4.0,0.0,4.0,4.0,38015,Burleigh,ND
"{""type"":""Point"",""coordinates"":[-116.241170164,43.451161421]}","Ada County, ID",0.0,18.25,90.0,108.25,108.25,16001,Ada,ID
"{""type"":""Point"",""coordinates"":[-121.696279148,37.232484182]}","Santa Clara County, CA",552.5,1002.73,312.0,1314.73,1867.23,6085,Santa Clara,CA
"{""type"":""Point"",""coordinates"":[-77.635703755,39.090676095]}","Loudoun County, VA",6349.4,5333.67,596.0,5929.67,12279.07,51107,Loudoun,VA
"{""type"":""Point"",""coordinates"":[-86.896397824,33.554327897]}","Jefferson County, AL",500.0,8.9,54.0,62.9,562.9,1073,Jefferson,AL
"{""type"":""Point"",""coordinates"":[-80.256362968,36.130569003]}","Forsyth County, NC",0.0,8.0,0.0,8.0,8.0,37067,Forsyth,NC
"{""type"":""Point"",""coordinates"":[-94.420872273,39.310519786]}","Clay County, MO",657.8,33.4,207.2,240.6,898.4,29047,Clay,MO
"{""type"":""Point"",""coordinates"":[-77.204234743,39.136362287]}","Montgomery County, MD",0.0,8.7,0.0,8.7,8.7,24031,Montgomery,MD
"{""type"":""Point"",""coordinates"":[-84.467076587,33.790316239]}","Fulton County, GA",1112.7,534.55,364.0,898.55,2011.25,13121,Fulton,GA
"{""type"":""Point"",""coordinates"":[-91.763505486,32.417770369]}","Richland Parish, LA",2000.0,0.0,0.0,0.0,2000.0,22083,Richland,LA
"{""type"":""Point"",""coordinates"":[-81.619119656,34.689537431]}","Union County, SC",0.0,9.0,0.0,9.0,9.0,45087,Union,SC
"{""type"":""Point"",""coordinates"":[-81.990762212,34.930909348]}","Spartanburg County, SC",268.0,47.3,60.0,107.3,375.3,45083,Spartanburg,SC
"{""type"":""Point"",""coordinates"":[-112.656713467,45.902404449]}","Silver Bow County, MT",0.0,65.5,0.0,65.5,65.5,30093,Silver Bow,MT
"{""type"":""Point"",""coordinates"":[-72.631648642,42.135115014]}","Hampden County, MA",274.0,1.5,0.0,1.5,275.5,25013,Hampden,MA
"{""type"":""Point"",""coordinates"":[-70.737075849,41.987435417]}","Plymouth County, MA",0.0,1.0,0.0,1.0,1.0,25023,Plymouth,MA
"{""type"":""Point"",""coordinates"":[-111.913339055,41.269864415]}","Weber County, UT",0.0,1.0,0.0,1.0,1.0,49057,Weber,UT
"{""type"":""Point"",""coordinates"":[-75.638976064,39.578332125]}","New Castle County, DE",2.0,7.0,0.0,7.0,9.0,10003,New Castle,DE
"{""type"":""Point"",""coordinates"":[-84.763374713,33.35333166]}","Coweta County, GA",1000.0,0.0,0.0,0.0,1000.0,13077,Coweta,GA
"{""type"":""Point"",""coordinates"":[-76.567595982,38.994158893]}","Anne Arundel County, MD",0.0,3.25,0.0,3.25,3.25,24003,Anne Arundel,MD
"{""type"":""Point"",""coordinates"":[-111.670305902,40.119950175]}","Utah County, UT",1204.0,316.3,230.0,546.3,1750.3,49049,Utah,UT
"{""type"":""Point"",""coordinates"":[-81.919833378,35.402595705]}","Rutherford County, NC",0.0,120.0,0.0,120.0,120.0,37161,Rutherford,NC
"{""type"":""Point"",""coordinates"":[-87.376391481,41.472210111]}","Lake County, IN",1020.0,20.0,20.0,40.0,1060.0,18089,Lake,IN
"{""type"":""Point"",""coordinates"":[-76.247696643,40.042430912]}","Lancaster County, PA",0.0,0.5,0.0,0.5,0.5,42071,Lancaster,PA
"{""type"":""Point"",""coordinates"":[-79.893051496,32.826533117]}","Charleston County, SC",0.0,0.2,0.6,0.8,0.8,45019,Charleston,SC
"{""type"":""Point"",""coordinates"":[-83.497229969,34.354340454]}","Banks County, GA",60.0,0.0,120.0,120.0,180.0,13011,Banks,GA
"{""type"":""Point"",""coordinates"":[-80.257706232,41.302194991]}","Mercer County, PA",0.0,150.0,90.0,240.0,240.0,42085,Mercer,PA
"{""type"":""Point"",""coordinates"":[-75.748440359,39.973149342]}","Chester County, PA",450.0,5.0,0.0,5.0,455.0,42029,Chester,PA
"{""type"":""Point"",""coordinates"":[-94.822261041,38.883768512]}","Johnson County, KS",15.0,35.05,0.0,35.05,50.05,20091,Johnson,KS
"{""type"":""Point"",""coordinates"":[-78.441082811,37.22430215]}","Prince Edward County, VA",300.0,0.0,0.0,0.0,300.0,51147,Prince Edward,VA
"{""type"":""Point"",""coordinates"":[-75.307586951,40.754166699]}","Northampton County, PA",0.0,4.0,0.0,4.0,4.0,42095,Northampton,PA
"{""type"":""Point"",""coordinates"":[-93.476967233,45.004566006]}","Hennepin County, MN",0.0,35.65,2.0,37.65,37.65,27053,Hennepin,MN
"{""type"":""Point"",""coordinates"":[-86.460552636,36.469050443]}","Sumner County, TN",20.0,120.0,44.8,164.8,184.8,47165,Sumner,TN
"{""type"":""Point"",""coordinates"":[-81.984832267,26.563496812]}","Lee County, FL",0.0,0.3,0.0,0.3,0.3,12071,Lee,FL
"{""type"":""Point"",""coordinates"":[-76.847289073,38.829512938]}","Prince George's County, MD",834.0,2.0,20.0,22.0,856.0,24033,Prince George's,MD
"{""type"":""Point"",""coordinates"":[-82.073547966,33.359632374]}","Richmond County, GA",200.0,0.0,0.0,0.0,200.0,13245,Richmond,GA
"{""type"":""Point"",""coordinates"":[-82.33129291,32.121720331]}","Toombs County, GA",0.0,26.0,0.0,26.0,26.0,13279,Toombs,GA
"{""type"":""Point"",""coordinates"":[-81.648007007,30.33543825]}","Duval County, FL",3.0,30.3,0.0,30.3,33.3,12031,Duval,FL
"{""type"":""Point"",""coordinates"":[-101.208593305,34.530264105]}","Briscoe County, TX",0.0,68.0,32.0,100.0,100.0,48045,Briscoe,TX
"{""type"":""Point"",""coordinates"":[-76.779457518,40.415443956]}","Dauphin County, PA",0.0,0.4,0.0,0.4,0.4,42043,Dauphin,PA
"{""type"":""Point"",""coordinates"":[-104.689620563,41.307067685]}","Laramie County, WY",115.0,369.0,100.0,469.0,584.0,56021,Laramie,WY
"{""type"":""Point"",""coordinates"":[-78.812550765,37.372356828]}","Appomattox County, VA",250.0,0.0,50.0,50.0,300.0,51011,Appomattox,VA
