Centroid,Name,Planned (MW),Operating (MW),In Construction (MW),Operating and In Construction (MW),Total (MW),fips_code,src_name,state
"{""type"":""Point"",""coordinates"":[-78.650280122,35.790313427]}","Wake County, NC",3.0,18.33,0.0,18.33,21.33,37183,Wake,NC
"{""type"":""Point"",""coordinates"":[-94.764478416,39.114645335]}","Wyandotte County, KS",600.0,14.0,0.0,14.0,614.0,20209,Wyandotte,KS
"{""type"":""Point"",""coordinates"":[-88.27220141,36.621100968]}","Calloway County, KY",0.0,25.0,0.0,25.0,25.0,21035,Calloway,KY
"{""type"":""Point"",""coordinates"":[-90.097766958,29.677452107]}","Jefferson Parish, LA",0.0,0.7,0.0,0.7,0.7,22051,Jefferson,LA
"{""type"":""Point"",""coordinates"":[-74.616336644,40.563506905]}","Somerset County, NJ",10.0,62.0,0.0,62.0,72.0,34035,Somerset,NJ
"{""type"":""Point"",""coordinates"":[-110.266046891,47.045443249]}","Judith Basin County, MT",0.0,20.0,0.0,20.0,20.0,30045,Judith Basin,MT
"{""type"":""Point"",""coordinates"":[-84.277997301,37.720184097]}","Madison County, KY",0.0,20.0,0.0,20.0,20.0,21151,Madison,KY
"{""type"":""Point"",""coordinates"":[-106.23483547,31.768647564]}","El Paso County, TX",400.0,2.4,24.9,27.3,427.3,48141,El Paso,TX
"{""type"":""Point"",""coordinates"":[-121.228140561,43.9150082]}","Deschutes County, OR",0.0,6.5,0.0,6.5,6.5,41017,Deschutes,OR
"{""type"":""Point"",""coordinates"":[-112.224618776,42.668485212]}","Bannock County, ID",0.0,5.4,0.0,5.4,5.4,16005,Bannock,ID
"{""type"":""Point"",""coordinates"":[-89.285780318,41.204489982]}","Putnam County, IL",82.0,0.0,0.0,0.0,82.0,17155,Putnam,IL
"{""type"":""Point"",""coordinates"":[-123.179548955,43.285345766]}","Douglas County, OR",0.0,0.5,0.0,0.5,0.5,41019,Douglas,OR
"{""type"":""Point"",""coordinates"":[-94.247465501,44.349854924]}","Nicollet County, MN",300.0,0.0,0.0,0.0,300.0,27103,Nicollet,MN
"{""type"":""Point"",""coordinates"":[-91.095648613,30.5382752]}","East Baton Rouge Parish, LA",3.0,2.7,0.0,2.7,5.7,22033,East Baton Rouge,LA
"{""type"":""Point"",""coordinates"":[-99.347478378,31.198871141]}","McCulloch County, TX",500.0,0.0,0.0,0.0,500.0,48307,McCulloch,TX
"{""type"":""Point"",""coordinates"":[-84.277880184,30.458036492]}","Leon County, FL",0.0,0.9,0.0,0.9,0.9,12073,Leon,FL
"{""type"":""Point"",""coordinates"":[-83.706711027,43.021722899]}","Genesee County, MI",0.0,1.28,0.0,1.28,1.28,26049,Genesee,MI
"{""type"":""Point"",""coordinates"":[-101.89292281,35.837687253]}","Moore County, TX",87.0,0.0,100.0,100.0,187.0,48341,Moore,TX
"{""type"":""Point"",""coordinates"":[-86.550206596,34.763089682]}","Madison County, AL",5.0,262.0,100.0,362.0,367.0,1089,Madison,AL
"{""type"":""Point"",""coordinates"":[-89.95464439,30.407855475]}","St. Tammany Parish, LA",0.0,1.0,0.0,1.0,1.0,22103,St. Tammany,LA
"{""type"":""Point"",""coordinates"":[-83.937090009,35.993208886]}","Knox County, TN",0.0,86.0,0.0,86.0,86.0,47093,Knox,TN
"{""type"":""Point"",""coordinates"":[-86.898656416,35.893826351]}","Williamson County, TN",0.0,27.7,0.0,27.7,27.7,47187,Williamson,TN
