Name,Operator,State,City,Power (MW),Whitespace (sqft),Type,Year Built,Year Rennovated,UPS,Cooling System,Zone
Ark Data Centers Akron 2,Ark Data Centers,Ohio,Akron,1,10000,,,,2N,N+1,ATSI
Ark Data Centers Akron 1,Ark Data Centers,Ohio,Akron,1,10000,,,,2N,N+1,ATSI
Meta Bowling Green Campus,Meta,Ohio,Bowling Green,,66425,,,,,,ATSI
Mangobay Cleveland,Mango Bay Internet,Ohio,Brooklyn Heights,,,,,,,,ATSI
Cleveland Data Center,Green Bridge Real Estate,Ohio,Cleveland,,,,,,,,ATSI
Expedient Garfield Heights 2,Expedient Data Centers,Ohio,Cleveland,2,,,,,2N,,ATSI
Expedient Garfield Heights 1,Expedient Data Centers,Ohio,Cleveland,2.7,,,,,2N,,ATSI
H5 Data Centers Cleveland,H5 Data Centers,Ohio,Cleveland,,351000,,,,2N,2N,ATSI
Lumen Cleveland 1,Lumen,Ohio,Cleveland,,,,,,,,ATSI
DataBank CLE1 - Downtown Cleveland,DataBank,Ohio,Cleveland,0.4,7440,,,,N+1,N+1,ATSI
Sterling Telecom Office Building,"Sterling Telecom Office Building, LLC",Ohio,Cleveland,,,,,,,,ATSI
Keith Building,K&D Real Estate Services,Ohio,Cleveland,,213000,,,,,,ATSI
Lumen Cleveland 2,Lumen,Ohio,Cleveland,,,,,,,,ATSI
Windstream Cleveland,Windstream,Ohio,Cleveland,,,,,,,,ATSI
Public Square Tech Center,Morgan Reed Group,Ohio,Cleveland,,930106,,,,,,ATSI
Cogent Data Center - Cleveland 2,"Cogent Communications, Inc.",Ohio,Cleveland,,,,,,,,ATSI
FairlawnGig Service Center,FairlawnGig,Ohio,Fairlawn,,,,,,,,ATSI
Ark Data Centers Independence,Ark Data Centers,Ohio,Independence,1,10000,,,,2N,N+1,ATSI
BlueBridge Networks,"BlueBridge Networks, LLC",Ohio,Mayfield Hts,,,,,,,,ATSI
LightSpeed Data Center,LightSpeed Hosting,Ohio,Medina,1,1400,,,,N+1,N+1,ATSI
Everstream Parma Data Center,Everstream,Ohio,Parma,,,,,,,,ATSI
Bay Pointe Data Center,Bay Pointe,Ohio,Richfield,,,,,,,,ATSI
NCS Richmond Heights,NCS Datacom,Ohio,Richmond Heights,,,,,,,,ATSI
Aligned NEO-01,Aligned Data Centers,Ohio,Sandusky,96,200000,,2026,,,,ATSI
CISP Data Center,CISP,Ohio,Toledo,,,,,,,,ATSI
Telesystem DC-1,"Buckeye Telesystem, Inc",Ohio,Toledo,,,,,,,,ATSI
Ark Data Centers Youngstown,Ark Data Centers,Ohio,Youngstown,,,,,,,,ATSI
Iron Mountain Data Centers WPA-1,Iron Mountain Data Centers,Pennsylvania,Boyers,16,330000,Colocation,1960,2021,2N,N+1,ATSI
Lumen Dayton 3,Lumen,Ohio,Dayton,,,,,,,,DAY
Lumen Dayton 1,Lumen,Ohio,Dayton,,,,,,,,DAY
CBTS Lebanon Data Center,CBTS,Ohio,Lebanon,,,,,,,,DAY
CyrusOne CIN5 - Lebanon,CyrusOne Data Centers,Ohio,Lebanon,14,95000,,,,,,DAY
Encore Technologies MSB1,Encore Technologies,Ohio,Miamisburg,,,,,,2N,N+1,DAY
Iron Mountain Data Centers OHS-1,Iron Mountain Data Centers,Ohio,Miamisburg,1.4,,,,,N+1,N+1,DAY
5CDC Columbus - CMH01,5C Group Inc.,Ohio,Springfield,900,214078,,,,N+2,N+2,DAY
Encore Technologies BLU1,Encore Technologies,Ohio,Blue Ash,,,,,,2N,N+1,DEOK
CyrusOne CIN97 - Cincinnati,CyrusOne Data Centers,Ohio,Blue Ash,0.9,8000,,,,,N+1,DEOK
CBTS Gold Coast Data Center,CBTS,Ohio,Blue Ash,,,,,,,,DEOK
CyrusOne Cincinnati (Gold Coast),CyrusOne Data Centers,Ohio,Cincinnati,,,,,,,,DEOK
CyrusOne CIN3 - Mason,CyrusOne Data Centers,Ohio,Cincinnati,1.7,35000,,,,,N+1,DEOK
Encore Technologies NOR1,Encore Technologies,Ohio,Cincinnati,,,,,,2N,N+1,DEOK
I74 Wired Data Center,I74 Wired,Ohio,Cincinnati,,,,,,,,DEOK
CBTS Cincinnati Data Center,CBTS,Ohio,Cincinnati,,107000,,,,2N,,DEOK
Lumen Cincinnati 3,Lumen,Ohio,Cincinnati,,,,,,,,DEOK
CyrusOne CIN2 - Cincinnati,CyrusOne Data Centers,Ohio,Cincinnati,12,212000,,,,,,DEOK
Lumen Cincinnati 1,Lumen,Ohio,Cincinnati,,,,,,,,DEOK
"DartPoints Cincinnati, OH - CVG01",DartPoints,Ohio,Cincinnati,1.6,13408,,2024,,N+1,N+1,DEOK
DataBank - 334 Gest St,DataBank,Ohio,Cincinnati,,,,,,,,DEOK
CBTS Hamilton Data Center,CBTS,Ohio,Hamilton,,,,,,,,DEOK
