Name,Operator,State,City,Power (MW),Whitespace (sqft),Type,Year Built,Year Rennovated,UPS,Cooling System,Zone
NAP of Virginia Beach,PointOne,Virginia,Virginia Beach,30,,Colocation,2019,,N+1,,DOM
DaSTOR New Castle,"DaSTOR, LLC",Delaware,New Castle,8,"60,000",Colocation,2006,2024,2N+2,N+1,DPL
Trijit Data Center,Trijit Corporation,Delaware,Wilmington,0.3,,Colocation,,,,,DPL
East Kentucky Network Data Center,East Kentucky Network,Kentucky,Ivel,,,,,,2N,N+1,EKPC
Project Lincoln OC Data Center,,Kentucky,La Grange,,,,,,,,EKPC
Windstream Lexington,Windstream,Kentucky,Lexington,,,,,,,,EKPC
BluegrassNet Downtown Lexington,BluegrassNet,Kentucky,Lexington,,,,,,,,EKPC
KUSI Data Center,Kentucky Underground Storage,Kentucky,Wilmore,,2300,,,,,,EKPC
QTS East Windsor 1 DC1,QTS Data Centers,New Jersey,East Windsor,28,120931,Hyperscale,2025,,2N,2N,JCPL
NJFX Data Center,NJFX,New Jersey,Wall,9,64800,Colocation,,,N+1,N+1,JCPL
Flexential Phiadelphia - Collegeville Data Center,Flexential,Pennsylvania,Collegeville,7.2,203703,Colocation,2017,,2N+1,,METED
1547 Chester County PA,1547 Critical Systems Realty,Pennsylvania,Malvern,450,2000000,Hyperscale,2025,,,,PECO
Cogent Data Center - Pennsauken,"Cogent Communications, Inc.",Pennsylvania,Merchantville,2.3,39601,Colocation,,,,,PECO
ColoHouse Philadelphia,ColoHouse,Pennsylvania,Philadelphia,1,48000,Colocation,1928,2021,,2N,PECO
Crown Castle Philadelphia (PA2),CROWN CASTLE,Pennsylvania,Philadelphia,1,14331,Colocation,2018,,,,PECO
viLogics Ebensburg,viLogics Data Centers,Pennsylvania,Ebensburg,3,2500,Colocation,2011,,2N,2N,PENELEC
"365 Data Centers - Bridgewater, NJ",365 Data Centers,New Jersey,Bridgewater township,2.3,"25,600",Colocation,1988,,N+1,N+1,PSEG
Iron Mountain Data Centers NJE-1,Iron Mountain Data Centers,New Jersey,Edison,26,830000,Colocation,1967,,2N,N+1,PSEG
QTS Jersey City 1 DC1,QTS Data Centers,New Jersey,Jersey City,3,120000,Colocation,2022,,N+1,N+1,PSEG
QTS Jersey City 1 DC1,QTS Data Centers,New Jersey,Jersey City,3,120000,Colocation,2015,,N+1,N+1,PSEG
Centersquare - New York EWR1,Centersquare,New Jersey,Jersey City,13.2,74222,Colocation,2012,,N+2,N+1,PSEG
3 Corporate Place (EWR11),Digital Realty,New Jersey,Piscataway,3.3,28400,Colocation,1974,,2N,N+2,PSEG
Centersquare - New York EWR3-B,Centersquare,New Jersey,Piscataway,6,135000,Colocation,1971,2013,N+1,N+1,PSEG
Centersquare - New York EWR3-A,Centersquare,New Jersey,Piscataway,5.4,"66,596",Colocation,1977,2013,N+1,N+1,PSEG
365 S. Randolphville Road (EWR12),Digital Realty,New Jersey,Piscataway,14.4,"134,300",Colocation,1971,,2N,N+2,PSEG
DataBank EWR2 - Piscataway,DataBank,New Jersey,Piscataway,3,"22,590",Colocation,1985,2019,N+1,N+1,PSEG
Hammer Piscataway Data Center,Hammer Technology Holdings,New Jersey,Piscataway,1.8,10000,Colocation,2012,,N+1,N+1,PSEG
Digital Fortress New Jersey,Digital Fortress,New Jersey,Piscataway,5,9700,Colocation,2006,2021,N+1,N+1,PSEG
QTS Piscataway 1 DC1,QTS Data Centers,New Jersey,Piscataway,52,176000,,2021,,N+2,N+2,PSEG
Centersquare - New York EWR5-A,Centersquare,New Jersey,Secaucus,2,98600,Colocation,2024,,N+1,2N+1,PSEG
Evocative EWR1,Evocative Data Centers,New Jersey,Secaucus,10,105000,Colocation,2012,2013,N+1,N+1,PSEG
InterServer TEB2,"InterServer, Inc",New Jersey,Secaucus,,8000,Colocation,,,,,PSEG
InterServer TEB4,"InterServer, Inc",New Jersey,Secaucus,2.5,48000,Colocation,1999,2022,N+1,,PSEG
Equinix NY5,Equinix,New Jersey,Secaucus,20,129435,Colocation,2012,2016,N+2,N+1,PSEG
Colocation America NJDC2,Colocation America,New Jersey,Secaucus,2,9800,Colocation,2000,,2N,2N+1,PSEG
Rackspace New York 2,Rackspace Hosting,New Jersey,Somerset,2,35000,Colocation,1998,,2N,N+1,PSEG
Rackspace New York 1,Rackspace Hosting,New Jersey,Somerset,2.7,11000,Colocation,2008,,2N,N+1,PSEG
CyrusOne NYM1 - Somerset,CyrusOne Data Centers,New Jersey,Somerset,40,430000,Hyperscale,2011,,N+2,,PSEG
Amazon AWS IAD - Hunters Ridge Campus,Amazon AWS,Virginia,,,,,,,,,
Brush Mountain Data Center,Brush Mountain Data Center,Virginia,,,,,,,,,
Lost River Data Center,BGMU Fiber,Kentucky,Bowling Green,,,,,,,,
EnergyNet Data Center,EnergyNet,Kentucky,Hopkinsville,,,,,,N,N+1,
Flexential Louisville - East Data Center,Flexential,Kentucky,Louisville,1.46,,,,,2N,,
Louisville Enterprise Data Center,Aphorio Carter,Kentucky,Louisville,1,20000,,,,N+1,,
IgLou Data Center,"IgLou Internet Services, Inc.",Kentucky,Louisville,,,,,,,,
PowerHouse Louisville Campus,PowerHouse Data Centers,Kentucky,Louisville,400,,,,,,,
Data Canopy - Louisville,Data Canopy,Kentucky,Louisville,,,,,,,,
Lumen Louisville 1,Lumen,Kentucky,Louisville,,,,,,,,
Lumen Louisville 2,Lumen,Kentucky,Louisville,,,,,,,,
332 West Broadway,,Kentucky,Louisville,,,,,,,,
BluegrassNet Downtown Louisville,BluegrassNet,Kentucky,Louisville,,,,,,,,
BluegrassNet East Breckinridge,BluegrassNet,Kentucky,Louisville,,,,,,,,
"Windstream Louisville, KY",Windstream,Kentucky,Louisville,,,,,,,,
Flexential Louisville - Downtown Data Center,Flexential,Kentucky,Louisville,3.09,,,,,2N,,
Silica Broadband,Davey Holdings LLC,Kentucky,Prospect,,,,,,,,
ATCDC,Ashland Technology Complex and Data Center,Kentucky,Russell,,,,,,,,
Simpsonville Enterprise Data Center,Aphorio Carter,Kentucky,Simpsonville,1,20000,,,,N+1,,
