datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2012 5:00:00 AM,1/1/2012 12:00:00 AM,36093.50,38910.10,178285.20
1/1/2012 6:00:00 AM,1/1/2012 1:00:00 AM,35569.60,38890.20,178285.20
1/1/2012 7:00:00 AM,1/1/2012 2:00:00 AM,35307.30,38612.90,178285.20
1/1/2012 8:00:00 AM,1/1/2012 3:00:00 AM,34353.60,37761.20,178285.20
1/1/2012 9:00:00 AM,1/1/2012 4:00:00 AM,34342.30,37742.90,178285.20
1/1/2012 10:00:00 AM,1/1/2012 5:00:00 AM,34699.40,37834.10,178285.20
1/1/2012 11:00:00 AM,1/1/2012 6:00:00 AM,35626.60,38462.40,178285.20
1/1/2012 12:00:00 PM,1/1/2012 7:00:00 AM,36966.60,39427.40,178285.20
1/1/2012 1:00:00 PM,1/1/2012 8:00:00 AM,38393.80,39661.60,178285.20
1/1/2012 2:00:00 PM,1/1/2012 9:00:00 AM,38554.20,39812.00,178285.20
1/1/2012 3:00:00 PM,1/1/2012 10:00:00 AM,39031.50,39922.30,178285.20
1/1/2012 4:00:00 PM,1/1/2012 11:00:00 AM,39046.60,39947.40,178285.20
1/1/2012 5:00:00 PM,1/1/2012 12:00:00 PM,39262.40,40118.10,178285.20
1/1/2012 6:00:00 PM,1/1/2012 1:00:00 PM,39305.90,40161.60,178285.20
1/1/2012 7:00:00 PM,1/1/2012 2:00:00 PM,39291.60,40147.30,178285.20
1/1/2012 8:00:00 PM,1/1/2012 3:00:00 PM,39426.20,40252.90,178285.20
1/1/2012 9:00:00 PM,1/1/2012 4:00:00 PM,39425.20,40251.90,178285.20
1/1/2012 10:00:00 PM,1/1/2012 5:00:00 PM,40020.80,40847.50,178285.20
1/1/2012 11:00:00 PM,1/1/2012 6:00:00 PM,39934.60,40773.20,178285.20
1/2/2012 12:00:00 AM,1/1/2012 7:00:00 PM,39529.50,40376.10,178285.20
1/2/2012 1:00:00 AM,1/1/2012 8:00:00 PM,39499.60,40350.20,178285.20
1/2/2012 2:00:00 AM,1/1/2012 9:00:00 PM,39413.20,40286.80,178285.20
1/2/2012 3:00:00 AM,1/1/2012 10:00:00 PM,39313.40,40203.90,178285.20
1/2/2012 4:00:00 AM,1/1/2012 11:00:00 PM,37724.10,40235.60,178285.20
1/2/2012 5:00:00 AM,1/2/2012 12:00:00 AM,36766.30,39901.80,178285.20
1/2/2012 6:00:00 AM,1/2/2012 1:00:00 AM,36774.70,39901.20,178285.20
1/2/2012 7:00:00 AM,1/2/2012 2:00:00 AM,36798.70,39914.20,178285.20
1/2/2012 8:00:00 AM,1/2/2012 3:00:00 AM,36463.30,39552.80,178285.20
1/2/2012 9:00:00 AM,1/2/2012 4:00:00 AM,36630.90,39718.40,178285.20
1/2/2012 10:00:00 AM,1/2/2012 5:00:00 AM,36694.00,39700.60,178285.20
1/2/2012 11:00:00 AM,1/2/2012 6:00:00 AM,37503.10,40186.70,178285.20
1/2/2012 12:00:00 PM,1/2/2012 7:00:00 AM,38162.80,40490.40,178285.20
1/2/2012 1:00:00 PM,1/2/2012 8:00:00 AM,39705.90,40839.50,178285.20
1/2/2012 2:00:00 PM,1/2/2012 9:00:00 AM,39759.40,40910.00,178285.20
1/2/2012 3:00:00 PM,1/2/2012 10:00:00 AM,39897.80,40695.40,178285.20
1/2/2012 4:00:00 PM,1/2/2012 11:00:00 AM,39447.60,40252.20,178285.20
1/2/2012 5:00:00 PM,1/2/2012 12:00:00 PM,39593.50,40386.10,178285.20
1/2/2012 6:00:00 PM,1/2/2012 1:00:00 PM,39429.20,40226.80,178285.20
1/2/2012 7:00:00 PM,1/2/2012 2:00:00 PM,39520.30,40315.90,178285.20
1/2/2012 8:00:00 PM,1/2/2012 3:00:00 PM,39522.30,40353.90,178285.20
