datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2018 5:00:00 AM,1/1/2018 12:00:00 AM,182692.80,187450.40,178354.40
1/1/2018 6:00:00 AM,1/1/2018 1:00:00 AM,182128.60,187054.00,178354.40
1/1/2018 7:00:00 AM,1/1/2018 2:00:00 AM,180860.40,186256.40,178354.40
1/1/2018 8:00:00 AM,1/1/2018 3:00:00 AM,181294.80,186569.10,178354.40
1/1/2018 9:00:00 AM,1/1/2018 4:00:00 AM,181805.00,186208.00,178354.40
1/1/2018 10:00:00 AM,1/1/2018 5:00:00 AM,183138.20,187622.40,178354.40
1/1/2018 11:00:00 AM,1/1/2018 6:00:00 AM,185397.60,189184.40,178354.40
1/1/2018 12:00:00 PM,1/1/2018 7:00:00 AM,184793.30,188618.10,178354.40
1/1/2018 1:00:00 PM,1/1/2018 8:00:00 AM,185088.30,188907.20,178354.40
1/1/2018 2:00:00 PM,1/1/2018 9:00:00 AM,184687.90,188385.10,178354.40
1/1/2018 3:00:00 PM,1/1/2018 10:00:00 AM,184459.60,188314.20,178354.40
1/1/2018 4:00:00 PM,1/1/2018 11:00:00 AM,183768.90,187984.20,178354.40
1/1/2018 5:00:00 PM,1/1/2018 12:00:00 PM,183620.40,187942.00,178354.40
1/1/2018 6:00:00 PM,1/1/2018 1:00:00 PM,182797.00,187836.80,178354.40
1/1/2018 7:00:00 PM,1/1/2018 2:00:00 PM,182539.70,187789.10,178354.40
1/1/2018 8:00:00 PM,1/1/2018 3:00:00 PM,182754.40,187807.40,178354.40
1/1/2018 9:00:00 PM,1/1/2018 4:00:00 PM,181893.00,187433.50,178354.40
1/1/2018 10:00:00 PM,1/1/2018 5:00:00 PM,183452.70,188867.90,178354.40
1/1/2018 11:00:00 PM,1/1/2018 6:00:00 PM,182571.60,187967.20,178354.40
1/2/2018 12:00:00 AM,1/1/2018 7:00:00 PM,182954.60,188355.60,178354.40
1/2/2018 1:00:00 AM,1/1/2018 8:00:00 PM,182254.90,188073.50,178354.40
1/2/2018 2:00:00 AM,1/1/2018 9:00:00 PM,181328.50,187375.40,178354.40
1/2/2018 3:00:00 AM,1/1/2018 10:00:00 PM,180371.20,186511.90,178354.40
1/2/2018 4:00:00 AM,1/1/2018 11:00:00 PM,180085.40,186277.50,178354.40
1/2/2018 5:00:00 AM,1/2/2018 12:00:00 AM,179429.60,184931.20,178354.40
1/2/2018 6:00:00 AM,1/2/2018 1:00:00 AM,179123.10,184459.10,178354.40
1/2/2018 7:00:00 AM,1/2/2018 2:00:00 AM,178876.80,183999.00,178354.40
1/2/2018 8:00:00 AM,1/2/2018 3:00:00 AM,178869.30,184109.90,178354.40
1/2/2018 9:00:00 AM,1/2/2018 4:00:00 AM,179466.30,184673.00,178354.40
1/2/2018 10:00:00 AM,1/2/2018 5:00:00 AM,180902.00,186110.30,178354.40
1/2/2018 11:00:00 AM,1/2/2018 6:00:00 AM,183179.60,187332.90,178354.40
1/2/2018 12:00:00 PM,1/2/2018 7:00:00 AM,182755.50,186904.40,178354.40
1/2/2018 1:00:00 PM,1/2/2018 8:00:00 AM,183011.30,187177.60,178354.40
1/2/2018 2:00:00 PM,1/2/2018 9:00:00 AM,183067.50,187731.90,178354.40
1/2/2018 3:00:00 PM,1/2/2018 10:00:00 AM,182242.40,187127.50,178354.40
1/2/2018 4:00:00 PM,1/2/2018 11:00:00 AM,181307.10,186184.50,178354.40
1/2/2018 5:00:00 PM,1/2/2018 12:00:00 PM,181794.60,185864.60,178354.40
1/2/2018 6:00:00 PM,1/2/2018 1:00:00 PM,181775.30,185872.60,178354.40
1/2/2018 7:00:00 PM,1/2/2018 2:00:00 PM,181736.40,185541.30,178354.40
1/2/2018 8:00:00 PM,1/2/2018 3:00:00 PM,181765.10,185464.70,178354.40
1/2/2018 9:00:00 PM,1/2/2018 4:00:00 PM,182004.60,185833.80,178354.40
1/2/2018 10:00:00 PM,1/2/2018 5:00:00 PM,183511.80,186848.60,178354.40
1/2/2018 11:00:00 PM,1/2/2018 6:00:00 PM,184173.30,187429.10,178354.40
1/3/2018 12:00:00 AM,1/2/2018 7:00:00 PM,183965.20,187620.10,178354.40
1/3/2018 1:00:00 AM,1/2/2018 8:00:00 PM,184020.10,187669.00,178354.40
1/3/2018 2:00:00 AM,1/2/2018 9:00:00 PM,183176.00,187233.30,178354.40
1/3/2018 3:00:00 AM,1/2/2018 10:00:00 PM,182861.30,186917.20,178354.40
