datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,175418.40,177123.80,171705.00
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,175682.30,177367.90,171705.00
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,175096.20,176899.40,171705.00
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,174743.70,176544.70,171705.00
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,174609.50,176330.60,171705.00
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,174821.90,176302.80,171705.00
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,175496.20,176761.10,171705.00
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,176285.20,177557.60,171705.00
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,176426.70,177724.60,171705.00
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,176121.90,177431.50,171705.00
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,175596.60,176924.00,171705.00
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,174816.50,176170.60,171705.00
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,174447.00,175826.20,171705.00
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,174462.70,175927.40,171705.00
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,174174.50,175650.00,171705.00
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,173311.20,174794.60,171705.00
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,173310.40,174797.20,171705.00
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,173620.40,175136.10,171705.00
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,174094.20,175591.20,171705.00
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,174060.80,175555.70,171705.00
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,174250.50,175734.40,171705.00
