datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,177635.20,179664.60,168544.40
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,177136.10,179568.80,168544.40
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,177035.50,179467.90,168544.40
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,176282.40,178751.80,168544.40
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,176148.00,178610.20,168544.40
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,177107.00,178948.30,168544.40
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,177379.90,179052.70,168544.40
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,177838.50,179396.80,168544.40
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,178165.10,179791.90,168544.40
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,178530.90,180049.70,168544.40
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,178138.60,179364.50,168544.40
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,177786.30,178642.10,168544.40
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,177198.30,178054.30,168544.40
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,176628.60,177485.80,168544.40
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,176317.50,177168.20,168544.40
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,176265.90,177110.90,168544.40
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,176701.90,177354.70,168544.40
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,177002.10,177384.40,168544.40
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,177195.20,177604.50,168544.40
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,178191.80,178594.10,168544.40
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,177893.30,178555.40,168544.40
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,176655.40,178077.10,168544.40
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,176159.80,177855.00,168544.40
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,175681.00,177644.10,168544.40
1/2/2024 5:00:00 AM,1/2/2024 12:00:00 AM,175968.60,177993.00,168544.40
1/2/2024 6:00:00 AM,1/2/2024 1:00:00 AM,175560.50,177971.60,168544.40
1/2/2024 7:00:00 AM,1/2/2024 2:00:00 AM,176415.20,178790.20,168544.40
