datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,176734.90,183162.50,170979.30
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,176389.20,183163.80,170979.30
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,175895.60,182766.40,170979.30
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,176138.60,182850.50,170979.30
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,176855.00,183315.50,170979.30
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,177304.60,183590.90,170979.30
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,177443.70,183556.00,170979.30
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,178294.90,184373.10,170979.30
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,178673.70,184648.30,170979.30
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,180308.80,186166.20,170979.30
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,181123.80,186168.00,170979.30
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,181007.30,186074.80,170979.30
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,180376.70,185233.70,170979.30
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,180199.20,185388.80,170979.30
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,180085.70,185374.50,170979.30
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,180401.50,185522.90,170979.30
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,181064.50,186079.20,170979.30
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,181937.10,186888.50,170979.30
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,181948.60,186877.60,170979.30
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,182023.80,187170.50,170979.30
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,181734.60,187016.40,170979.30
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,180984.80,186566.80,170979.30
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,179117.30,184894.60,170979.30
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,179018.50,184783.70,170979.30
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,179776.30,185412.40,170979.30
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,179621.20,185182.90,170979.30
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,180138.30,185709.40,170979.30
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,179866.70,185436.00,170979.30
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,180493.80,185461.10,170979.30
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,180218.30,185152.90,170979.30
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,180769.40,185429.80,170979.30
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,180703.30,185273.10,170979.30
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,181120.70,185542.20,170979.30
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,181810.60,186201.50,170979.30
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,182264.20,186540.80,170979.30
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,182507.30,186821.00,170979.30
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,181046.40,185473.60,170979.30
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,180006.90,184443.40,170979.30
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,180004.90,184120.10,170979.30
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,180718.80,184768.20,170979.30
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,181728.60,185739.00,170979.30
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,182124.00,186134.00,170979.30
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,182161.50,186161.70,170979.30
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,182666.30,186673.60,170979.30
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,182724.90,186883.10,170979.30
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,182215.50,186487.90,170979.30
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,180681.70,185086.50,170979.30
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,178300.70,183671.10,170979.30
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,178241.30,182651.50,170979.30
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,178231.60,182588.00,170979.30
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,178080.70,182609.70,170979.30
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,178173.90,182706.60,170979.30
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,178255.00,182466.60,170979.30
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,179087.90,182999.40,170979.30
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,180782.40,184306.90,170979.30
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,180920.10,184405.10,170979.30
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,180952.30,184394.30,170979.30
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,181652.30,185088.20,170979.30
