datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,183410.70,186032.00,174884.10
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,182679.40,185577.10,174884.10
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,182312.60,185415.80,174884.10
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,182549.60,185544.60,174884.10
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,182911.40,185614.00,174884.10
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,183531.90,186220.30,174884.10
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,183619.90,185918.70,174884.10
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,184556.50,186475.70,174884.10
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,185404.70,187325.50,174884.10
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,185570.00,187480.00,174884.10
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,184919.40,186856.70,174884.10
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,184954.70,186982.60,174884.10
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,185700.80,187705.20,174884.10
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,185934.40,187903.00,174884.10
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,186015.00,187984.20,174884.10
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,185821.10,187769.20,174884.10
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,186185.20,187935.20,174884.10
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,186945.30,188534.70,174884.10
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,188018.50,189577.80,174884.10
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,187745.50,189423.50,174884.10
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,187712.30,189379.70,174884.10
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,187054.20,188909.10,174884.10
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,186222.60,188441.30,174884.10
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,185217.70,187642.60,174884.10
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,184355.90,187111.90,174884.10
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,184790.80,187534.20,174884.10
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,184558.00,187366.00,174884.10
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,184412.30,187228.50,174884.10
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,184101.80,186686.80,174884.10
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,185059.90,187495.90,174884.10
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,186672.20,188517.80,174884.10
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,186667.50,188315.90,174884.10
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,186287.60,187946.60,174884.10
