datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,172698.90,176434.50,177050.40
1/1/2016 6:00:00 AM,1/1/2016 1:00:00 AM,171993.90,175620.00,177050.40
1/1/2016 7:00:00 AM,1/1/2016 2:00:00 AM,171824.90,175553.00,177050.40
1/1/2016 8:00:00 AM,1/1/2016 3:00:00 AM,172630.80,176078.90,177050.40
1/1/2016 9:00:00 AM,1/1/2016 4:00:00 AM,172805.20,176093.30,177050.40
1/1/2016 10:00:00 AM,1/1/2016 5:00:00 AM,173194.30,176482.80,177050.40
1/1/2016 11:00:00 AM,1/1/2016 6:00:00 AM,174357.00,177393.40,177050.40
1/1/2016 12:00:00 PM,1/1/2016 7:00:00 AM,174595.70,177547.40,177050.40
1/1/2016 1:00:00 PM,1/1/2016 8:00:00 AM,174350.30,177716.20,177050.40
1/1/2016 2:00:00 PM,1/1/2016 9:00:00 AM,174687.60,178071.90,177050.40
1/1/2016 3:00:00 PM,1/1/2016 10:00:00 AM,174909.20,178320.70,177050.40
1/1/2016 4:00:00 PM,1/1/2016 11:00:00 AM,175083.90,178182.30,177050.40
1/1/2016 5:00:00 PM,1/1/2016 12:00:00 PM,175140.50,178235.70,177050.40
1/1/2016 6:00:00 PM,1/1/2016 1:00:00 PM,175135.40,178236.40,177050.40
1/1/2016 7:00:00 PM,1/1/2016 2:00:00 PM,174887.90,177605.80,177050.40
1/1/2016 8:00:00 PM,1/1/2016 3:00:00 PM,174743.20,177451.50,177050.40
1/1/2016 9:00:00 PM,1/1/2016 4:00:00 PM,174543.90,177775.80,177050.40
1/1/2016 10:00:00 PM,1/1/2016 5:00:00 PM,175746.80,178251.70,177050.40
1/1/2016 11:00:00 PM,1/1/2016 6:00:00 PM,175687.50,178090.00,177050.40
1/2/2016 12:00:00 AM,1/1/2016 7:00:00 PM,175409.10,177996.00,177050.40
1/2/2016 1:00:00 AM,1/1/2016 8:00:00 PM,175575.60,178251.50,177050.40
1/2/2016 2:00:00 AM,1/1/2016 9:00:00 PM,173885.70,177492.00,177050.40
1/2/2016 3:00:00 AM,1/1/2016 10:00:00 PM,173915.20,177660.70,177050.40
1/2/2016 4:00:00 AM,1/1/2016 11:00:00 PM,173477.70,177225.60,177050.40
1/2/2016 5:00:00 AM,1/2/2016 12:00:00 AM,170949.30,174629.50,177050.40
1/2/2016 6:00:00 AM,1/2/2016 1:00:00 AM,171187.90,175450.50,177050.40
1/2/2016 7:00:00 AM,1/2/2016 2:00:00 AM,171768.90,176153.60,177050.40
1/2/2016 8:00:00 AM,1/2/2016 3:00:00 AM,172342.50,176401.00,177050.40
1/2/2016 9:00:00 AM,1/2/2016 4:00:00 AM,170694.40,174767.40,177050.40
1/2/2016 10:00:00 AM,1/2/2016 5:00:00 AM,170274.40,174378.70,177050.40
1/2/2016 11:00:00 AM,1/2/2016 6:00:00 AM,170596.00,174989.50,177050.40
1/2/2016 12:00:00 PM,1/2/2016 7:00:00 AM,170495.70,174684.00,177050.40
1/2/2016 1:00:00 PM,1/2/2016 8:00:00 AM,170234.70,174812.40,177050.40
1/2/2016 2:00:00 PM,1/2/2016 9:00:00 AM,171134.20,174618.90,177050.40
1/2/2016 3:00:00 PM,1/2/2016 10:00:00 AM,172064.10,175509.90,177050.40
1/2/2016 4:00:00 PM,1/2/2016 11:00:00 AM,172028.40,175466.40,177050.40
1/2/2016 5:00:00 PM,1/2/2016 12:00:00 PM,171812.90,175348.50,177050.40
1/2/2016 6:00:00 PM,1/2/2016 1:00:00 PM,171705.00,175251.10,177050.40
1/2/2016 7:00:00 PM,1/2/2016 2:00:00 PM,171725.50,175574.80,177050.40
1/2/2016 8:00:00 PM,1/2/2016 3:00:00 PM,172051.00,175703.60,177050.40
1/2/2016 9:00:00 PM,1/2/2016 4:00:00 PM,173268.60,177033.10,177050.40
1/2/2016 10:00:00 PM,1/2/2016 5:00:00 PM,174716.10,177629.50,177050.40
1/2/2016 11:00:00 PM,1/2/2016 6:00:00 PM,174175.50,177554.90,177050.40
1/3/2016 12:00:00 AM,1/2/2016 7:00:00 PM,174772.40,178314.80,177050.40
1/3/2016 1:00:00 AM,1/2/2016 8:00:00 PM,175036.90,178458.70,177050.40
1/3/2016 2:00:00 AM,1/2/2016 9:00:00 PM,174049.80,178012.00,177050.40
1/3/2016 3:00:00 AM,1/2/2016 10:00:00 PM,173953.80,178042.00,177050.40
1/3/2016 4:00:00 AM,1/2/2016 11:00:00 PM,173198.10,177179.60,177050.40
1/3/2016 5:00:00 AM,1/3/2016 12:00:00 AM,174018.30,177547.20,177050.40
1/3/2016 6:00:00 AM,1/3/2016 1:00:00 AM,173615.40,177361.20,177050.40
1/3/2016 7:00:00 AM,1/3/2016 2:00:00 AM,174090.50,177930.50,177050.40
1/3/2016 8:00:00 AM,1/3/2016 3:00:00 AM,173573.00,177141.90,177050.40
1/3/2016 9:00:00 AM,1/3/2016 4:00:00 AM,173502.00,176908.90,177050.40
1/3/2016 10:00:00 AM,1/3/2016 5:00:00 AM,173030.60,176823.10,177050.40
1/3/2016 11:00:00 AM,1/3/2016 6:00:00 AM,172730.20,176645.10,177050.40
1/3/2016 12:00:00 PM,1/3/2016 7:00:00 AM,173025.00,176742.40,177050.40
1/3/2016 1:00:00 PM,1/3/2016 8:00:00 AM,172924.10,176776.60,177050.40
1/3/2016 2:00:00 PM,1/3/2016 9:00:00 AM,173096.60,176657.70,177050.40
1/3/2016 3:00:00 PM,1/3/2016 10:00:00 AM,172764.50,176521.00,177050.40
1/3/2016 4:00:00 PM,1/3/2016 11:00:00 AM,173345.40,176905.30,177050.40
1/3/2016 5:00:00 PM,1/3/2016 12:00:00 PM,173742.60,176975.10,177050.40
1/3/2016 6:00:00 PM,1/3/2016 1:00:00 PM,173492.60,177024.10,177050.40
1/3/2016 7:00:00 PM,1/3/2016 2:00:00 PM,173598.70,177127.20,177050.40
1/3/2016 8:00:00 PM,1/3/2016 3:00:00 PM,172854.60,176240.00,177050.40
1/3/2016 9:00:00 PM,1/3/2016 4:00:00 PM,172373.60,176436.60,177050.40
1/3/2016 10:00:00 PM,1/3/2016 5:00:00 PM,173247.80,176458.10,177050.40
1/3/2016 11:00:00 PM,1/3/2016 6:00:00 PM,172824.60,176591.80,177050.40
1/4/2016 12:00:00 AM,1/3/2016 7:00:00 PM,172121.70,176469.90,177050.40
1/4/2016 1:00:00 AM,1/3/2016 8:00:00 PM,172773.60,176234.40,177050.40
1/4/2016 2:00:00 AM,1/3/2016 9:00:00 PM,171975.30,176130.00,177050.40
1/4/2016 3:00:00 AM,1/3/2016 10:00:00 PM,172371.60,176345.00,177050.40
1/4/2016 4:00:00 AM,1/3/2016 11:00:00 PM,171994.20,176093.30,177050.40
1/4/2016 5:00:00 AM,1/4/2016 12:00:00 AM,170431.10,174922.10,177050.40
1/4/2016 6:00:00 AM,1/4/2016 1:00:00 AM,170382.60,174941.90,177050.40
1/4/2016 7:00:00 AM,1/4/2016 2:00:00 AM,170584.60,175136.60,177050.40
1/4/2016 8:00:00 AM,1/4/2016 3:00:00 AM,170535.60,175112.90,177050.40
1/4/2016 9:00:00 AM,1/4/2016 4:00:00 AM,171829.90,176133.10,177050.40
1/4/2016 10:00:00 AM,1/4/2016 5:00:00 AM,173612.10,177587.50,177050.40
1/4/2016 11:00:00 AM,1/4/2016 6:00:00 AM,173543.40,177782.30,177050.40
1/4/2016 12:00:00 PM,1/4/2016 7:00:00 AM,174889.20,178541.50,177050.40
1/4/2016 1:00:00 PM,1/4/2016 8:00:00 AM,174158.30,177834.70,177050.40
1/4/2016 2:00:00 PM,1/4/2016 9:00:00 AM,172852.10,176343.80,177050.40
1/4/2016 3:00:00 PM,1/4/2016 10:00:00 AM,171180.90,175828.70,177050.40
1/4/2016 4:00:00 PM,1/4/2016 11:00:00 AM,171470.40,176033.20,177050.40
1/4/2016 5:00:00 PM,1/4/2016 12:00:00 PM,171914.80,176074.60,177050.40
1/4/2016 6:00:00 PM,1/4/2016 1:00:00 PM,172009.60,176196.10,177050.40
1/4/2016 7:00:00 PM,1/4/2016 2:00:00 PM,171806.80,175995.30,177050.40
1/4/2016 8:00:00 PM,1/4/2016 3:00:00 PM,172383.60,176334.40,177050.40
1/4/2016 9:00:00 PM,1/4/2016 4:00:00 PM,173405.80,176746.80,177050.40
1/4/2016 10:00:00 PM,1/4/2016 5:00:00 PM,174877.20,177833.70,177050.40
