datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2021 5:00:00 AM,1/1/2021 12:00:00 AM,182997.40,185984.90,173103.10
1/1/2021 6:00:00 AM,1/1/2021 1:00:00 AM,182854.30,185931.50,173103.10
1/1/2021 7:00:00 AM,1/1/2021 2:00:00 AM,183129.70,186277.50,173103.10
1/1/2021 8:00:00 AM,1/1/2021 3:00:00 AM,183620.50,186734.00,173103.10
1/1/2021 9:00:00 AM,1/1/2021 4:00:00 AM,184236.20,187272.70,173103.10
1/1/2021 10:00:00 AM,1/1/2021 5:00:00 AM,185650.00,188642.00,173103.10
1/1/2021 11:00:00 AM,1/1/2021 6:00:00 AM,187396.50,189839.10,173103.10
1/1/2021 12:00:00 PM,1/1/2021 7:00:00 AM,188045.80,190549.80,173103.10
1/1/2021 1:00:00 PM,1/1/2021 8:00:00 AM,188554.70,191142.20,173103.10
1/1/2021 2:00:00 PM,1/1/2021 9:00:00 AM,188149.20,190917.30,173103.10
1/1/2021 3:00:00 PM,1/1/2021 10:00:00 AM,187748.70,190523.00,173103.10
1/1/2021 4:00:00 PM,1/1/2021 11:00:00 AM,187383.90,190136.10,173103.10
1/1/2021 5:00:00 PM,1/1/2021 12:00:00 PM,187179.80,189976.60,173103.10
1/1/2021 6:00:00 PM,1/1/2021 1:00:00 PM,186887.90,189573.40,173103.10
1/1/2021 7:00:00 PM,1/1/2021 2:00:00 PM,186618.40,189141.80,173103.10
1/1/2021 8:00:00 PM,1/1/2021 3:00:00 PM,186218.40,188919.40,173103.10
1/1/2021 9:00:00 PM,1/1/2021 4:00:00 PM,186405.50,189201.80,173103.10
1/1/2021 10:00:00 PM,1/1/2021 5:00:00 PM,187076.50,189463.40,173103.10
1/1/2021 11:00:00 PM,1/1/2021 6:00:00 PM,186332.70,188879.60,173103.10
1/2/2021 12:00:00 AM,1/1/2021 7:00:00 PM,186042.40,188549.60,173103.10
1/2/2021 1:00:00 AM,1/1/2021 8:00:00 PM,185491.80,188007.90,173103.10
1/2/2021 2:00:00 AM,1/1/2021 9:00:00 PM,185028.70,187794.20,173103.10
1/2/2021 3:00:00 AM,1/1/2021 10:00:00 PM,183824.10,186997.70,173103.10
1/2/2021 4:00:00 AM,1/1/2021 11:00:00 PM,182936.70,186104.60,173103.10
1/2/2021 5:00:00 AM,1/2/2021 12:00:00 AM,182047.50,185188.10,173033.00
1/2/2021 6:00:00 AM,1/2/2021 1:00:00 AM,181023.80,184622.20,173033.00
1/2/2021 7:00:00 AM,1/2/2021 2:00:00 AM,180418.50,184116.60,173033.00
1/2/2021 8:00:00 AM,1/2/2021 3:00:00 AM,180452.00,183996.70,173033.00
1/2/2021 9:00:00 AM,1/2/2021 4:00:00 AM,180624.80,184075.10,173033.00
1/2/2021 10:00:00 AM,1/2/2021 5:00:00 AM,181095.00,184381.60,173033.00
1/2/2021 11:00:00 AM,1/2/2021 6:00:00 AM,181438.20,184690.00,173033.00
1/2/2021 12:00:00 PM,1/2/2021 7:00:00 AM,181612.70,184775.50,173033.00
1/2/2021 1:00:00 PM,1/2/2021 8:00:00 AM,181617.50,184722.40,173033.00
1/2/2021 2:00:00 PM,1/2/2021 9:00:00 AM,181643.50,184870.20,173033.00
1/2/2021 3:00:00 PM,1/2/2021 10:00:00 AM,182050.10,185133.40,173033.00
1/2/2021 4:00:00 PM,1/2/2021 11:00:00 AM,181855.00,184958.40,173033.00
1/2/2021 5:00:00 PM,1/2/2021 12:00:00 PM,182589.00,185698.30,173033.00
1/2/2021 6:00:00 PM,1/2/2021 1:00:00 PM,182308.50,185261.50,173033.00
1/2/2021 7:00:00 PM,1/2/2021 2:00:00 PM,181689.80,184768.80,173033.00
1/2/2021 8:00:00 PM,1/2/2021 3:00:00 PM,181226.50,184401.80,173033.00
1/2/2021 9:00:00 PM,1/2/2021 4:00:00 PM,181710.10,184896.00,173033.00
1/2/2021 10:00:00 PM,1/2/2021 5:00:00 PM,182517.20,185455.50,173033.00
1/2/2021 11:00:00 PM,1/2/2021 6:00:00 PM,182615.90,185549.30,173033.00
1/3/2021 12:00:00 AM,1/2/2021 7:00:00 PM,182425.70,185355.70,173033.00
1/3/2021 1:00:00 AM,1/2/2021 8:00:00 PM,182034.50,184963.40,173033.00
1/3/2021 2:00:00 AM,1/2/2021 9:00:00 PM,181543.60,184652.40,173033.00
1/3/2021 3:00:00 AM,1/2/2021 10:00:00 PM,180846.20,184392.50,173033.00
1/3/2021 4:00:00 AM,1/2/2021 11:00:00 PM,180187.40,183779.10,173033.00
1/3/2021 5:00:00 AM,1/3/2021 12:00:00 AM,180995.30,184373.70,173033.00
1/3/2021 6:00:00 AM,1/3/2021 1:00:00 AM,180843.00,184316.10,173033.00
1/3/2021 7:00:00 AM,1/3/2021 2:00:00 AM,181035.40,184589.10,173033.00
1/3/2021 8:00:00 AM,1/3/2021 3:00:00 AM,180968.40,184503.00,173033.00
1/3/2021 9:00:00 AM,1/3/2021 4:00:00 AM,181120.00,184472.30,173033.00
1/3/2021 10:00:00 AM,1/3/2021 5:00:00 AM,182787.90,186026.80,173033.00
1/3/2021 11:00:00 AM,1/3/2021 6:00:00 AM,183522.30,186402.40,173033.00
1/3/2021 12:00:00 PM,1/3/2021 7:00:00 AM,183719.90,186515.20,173033.00
1/3/2021 1:00:00 PM,1/3/2021 8:00:00 AM,183780.70,186692.90,173033.00
1/3/2021 2:00:00 PM,1/3/2021 9:00:00 AM,183646.10,186512.70,173033.00
1/3/2021 3:00:00 PM,1/3/2021 10:00:00 AM,183427.50,186448.80,173033.00
1/3/2021 4:00:00 PM,1/3/2021 11:00:00 AM,183335.20,186363.70,173033.00
1/3/2021 5:00:00 PM,1/3/2021 12:00:00 PM,183637.70,186679.50,173033.00
1/3/2021 6:00:00 PM,1/3/2021 1:00:00 PM,183443.90,186498.40,173033.00
1/3/2021 7:00:00 PM,1/3/2021 2:00:00 PM,183275.30,186335.80,173033.00
1/3/2021 8:00:00 PM,1/3/2021 3:00:00 PM,182885.40,185940.30,173033.00
1/3/2021 9:00:00 PM,1/3/2021 4:00:00 PM,183372.90,186429.10,173033.00
1/3/2021 10:00:00 PM,1/3/2021 5:00:00 PM,184305.50,187138.20,173033.00
1/3/2021 11:00:00 PM,1/3/2021 6:00:00 PM,184433.90,187255.10,173033.00
1/4/2021 12:00:00 AM,1/3/2021 7:00:00 PM,184373.80,187197.80,173033.00
1/4/2021 1:00:00 AM,1/3/2021 8:00:00 PM,183467.50,186289.90,173033.00
1/4/2021 2:00:00 AM,1/3/2021 9:00:00 PM,182657.40,185646.90,173033.00
1/4/2021 3:00:00 AM,1/3/2021 10:00:00 PM,181655.30,184701.90,173033.00
1/4/2021 4:00:00 AM,1/3/2021 11:00:00 PM,180977.10,184068.90,173033.00
1/4/2021 5:00:00 AM,1/4/2021 12:00:00 AM,179612.70,183344.80,173033.00
1/4/2021 6:00:00 AM,1/4/2021 1:00:00 AM,179626.10,182956.00,173033.00
1/4/2021 7:00:00 AM,1/4/2021 2:00:00 AM,179699.90,183227.20,173033.00
1/4/2021 8:00:00 AM,1/4/2021 3:00:00 AM,179628.50,183156.40,173033.00
1/4/2021 9:00:00 AM,1/4/2021 4:00:00 AM,180744.10,184081.00,173033.00
1/4/2021 10:00:00 AM,1/4/2021 5:00:00 AM,181060.20,184319.60,173033.00
1/4/2021 11:00:00 AM,1/4/2021 6:00:00 AM,182543.40,185139.40,173033.00
1/4/2021 12:00:00 PM,1/4/2021 7:00:00 AM,182190.80,184724.80,173033.00
1/4/2021 1:00:00 PM,1/4/2021 8:00:00 AM,182217.80,185069.60,173033.00
1/4/2021 2:00:00 PM,1/4/2021 9:00:00 AM,182510.70,185383.30,173033.00
1/4/2021 3:00:00 PM,1/4/2021 10:00:00 AM,180232.40,183268.20,173033.00
1/4/2021 4:00:00 PM,1/4/2021 11:00:00 AM,179507.60,182941.10,173033.00
1/4/2021 5:00:00 PM,1/4/2021 12:00:00 PM,179220.60,182685.30,173033.00
1/4/2021 6:00:00 PM,1/4/2021 1:00:00 PM,178919.00,182419.90,173033.00
1/4/2021 7:00:00 PM,1/4/2021 2:00:00 PM,178637.90,182148.30,173033.00
1/4/2021 8:00:00 PM,1/4/2021 3:00:00 PM,178045.50,181952.40,173033.00
1/4/2021 9:00:00 PM,1/4/2021 4:00:00 PM,178909.70,182653.00,173033.00
1/4/2021 10:00:00 PM,1/4/2021 5:00:00 PM,180079.90,183395.40,173033.00
1/4/2021 11:00:00 PM,1/4/2021 6:00:00 PM,180476.70,183779.80,173033.00
1/5/2021 12:00:00 AM,1/4/2021 7:00:00 PM,180252.60,183790.50,173033.00
1/5/2021 1:00:00 AM,1/4/2021 8:00:00 PM,180062.20,183599.30,173033.00
1/5/2021 2:00:00 AM,1/4/2021 9:00:00 PM,179262.00,182954.30,173033.00
