datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,186567.40,190538.60,175536.80
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,185815.60,190042.30,175536.80
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,185468.50,189884.90,175536.80
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,184981.60,189224.90,175536.80
1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,185160.80,189233.00,175536.80
1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,184051.70,187942.20,175536.80
1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,185555.60,189473.90,175536.80
1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,185532.60,189378.50,175536.80
1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,185588.10,189426.00,175536.80
1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,185584.30,189400.50,175536.80
1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,185474.80,189311.10,175536.80
1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,185071.80,188910.10,175536.80
1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,185235.40,189076.30,175536.80
1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,185150.80,189000.00,175536.80
1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,184863.00,188717.50,175536.80
1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,184856.20,188700.30,175536.80
1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,184937.00,188804.00,175536.80
1/1/2019 10:00:00 PM,1/1/2019 5:00:00 PM,185746.30,189590.00,175536.80
1/1/2019 11:00:00 PM,1/1/2019 6:00:00 PM,185688.30,189535.20,175536.80
1/2/2019 12:00:00 AM,1/1/2019 7:00:00 PM,185569.30,189364.20,175536.80
1/2/2019 1:00:00 AM,1/1/2019 8:00:00 PM,185002.30,188834.50,175536.80
1/2/2019 2:00:00 AM,1/1/2019 9:00:00 PM,184077.90,188301.30,175536.80
1/2/2019 3:00:00 AM,1/1/2019 10:00:00 PM,184347.20,188495.60,175536.80
1/2/2019 4:00:00 AM,1/1/2019 11:00:00 PM,184016.10,188172.70,175536.80
1/2/2019 5:00:00 AM,1/2/2019 12:00:00 AM,183596.20,187528.60,175536.80
1/2/2019 6:00:00 AM,1/2/2019 1:00:00 AM,183499.10,187426.20,175536.80
1/2/2019 7:00:00 AM,1/2/2019 2:00:00 AM,183301.70,187344.80,175536.80
1/2/2019 8:00:00 AM,1/2/2019 3:00:00 AM,183348.60,187387.80,175536.80
1/2/2019 9:00:00 AM,1/2/2019 4:00:00 AM,183950.90,187795.10,175536.80
1/2/2019 10:00:00 AM,1/2/2019 5:00:00 AM,186047.80,188398.70,175536.80
1/2/2019 11:00:00 AM,1/2/2019 6:00:00 AM,186751.80,189049.90,175536.80
1/2/2019 12:00:00 PM,1/2/2019 7:00:00 AM,187377.00,189713.10,175536.80
1/2/2019 1:00:00 PM,1/2/2019 8:00:00 AM,187630.70,189935.20,175536.80
1/2/2019 2:00:00 PM,1/2/2019 9:00:00 AM,188145.50,190341.70,175536.80
1/2/2019 3:00:00 PM,1/2/2019 10:00:00 AM,187696.30,190031.80,175536.80
1/2/2019 4:00:00 PM,1/2/2019 11:00:00 AM,188739.10,191031.10,175536.80
1/2/2019 5:00:00 PM,1/2/2019 12:00:00 PM,188032.60,190894.70,175536.80
1/2/2019 6:00:00 PM,1/2/2019 1:00:00 PM,188382.50,191233.20,175536.80
1/2/2019 7:00:00 PM,1/2/2019 2:00:00 PM,188768.00,191542.40,175536.80
1/2/2019 8:00:00 PM,1/2/2019 3:00:00 PM,189021.20,191804.60,175536.80
1/2/2019 9:00:00 PM,1/2/2019 4:00:00 PM,189738.50,192548.60,175536.80
1/2/2019 10:00:00 PM,1/2/2019 5:00:00 PM,190906.40,193125.40,175536.80
1/2/2019 11:00:00 PM,1/2/2019 6:00:00 PM,191058.00,193222.90,175536.80
1/3/2019 12:00:00 AM,1/2/2019 7:00:00 PM,190849.00,193047.10,175536.80
1/3/2019 1:00:00 AM,1/2/2019 8:00:00 PM,190772.50,192963.60,175536.80
1/3/2019 2:00:00 AM,1/2/2019 9:00:00 PM,189367.30,191877.60,175536.80
1/3/2019 3:00:00 AM,1/2/2019 10:00:00 PM,188600.10,191831.80,175536.80
1/3/2019 4:00:00 AM,1/2/2019 11:00:00 PM,187751.00,191053.90,175536.80
1/3/2019 5:00:00 AM,1/3/2019 12:00:00 AM,186339.70,190247.00,175536.80
1/3/2019 6:00:00 AM,1/3/2019 1:00:00 AM,186348.00,190283.40,175536.80
1/3/2019 7:00:00 AM,1/3/2019 2:00:00 AM,186130.20,190263.20,175536.80
1/3/2019 8:00:00 AM,1/3/2019 3:00:00 AM,186308.10,190439.40,175536.80
1/3/2019 9:00:00 AM,1/3/2019 4:00:00 AM,186942.20,190884.00,175536.80
1/3/2019 10:00:00 AM,1/3/2019 5:00:00 AM,189207.50,191660.10,175536.80
1/3/2019 11:00:00 AM,1/3/2019 6:00:00 AM,189523.60,192305.00,175536.80
1/3/2019 12:00:00 PM,1/3/2019 7:00:00 AM,189106.80,191723.70,175536.80
1/3/2019 1:00:00 PM,1/3/2019 8:00:00 AM,188702.20,191302.00,175536.80
1/3/2019 2:00:00 PM,1/3/2019 9:00:00 AM,188416.30,190885.90,175536.80
1/3/2019 3:00:00 PM,1/3/2019 10:00:00 AM,187543.80,190045.40,175536.80
1/3/2019 4:00:00 PM,1/3/2019 11:00:00 AM,187252.70,189792.10,175536.80
1/3/2019 5:00:00 PM,1/3/2019 12:00:00 PM,186520.30,189650.30,175536.80
1/3/2019 6:00:00 PM,1/3/2019 1:00:00 PM,186753.70,189935.30,175536.80
1/3/2019 7:00:00 PM,1/3/2019 2:00:00 PM,186907.30,190045.50,175536.80
1/3/2019 8:00:00 PM,1/3/2019 3:00:00 PM,187057.80,190255.10,175536.80
1/3/2019 9:00:00 PM,1/3/2019 4:00:00 PM,187880.10,190948.00,175536.80
1/3/2019 10:00:00 PM,1/3/2019 5:00:00 PM,190640.90,193025.40,175536.80
1/3/2019 11:00:00 PM,1/3/2019 6:00:00 PM,191120.10,193495.10,175536.80
1/4/2019 12:00:00 AM,1/3/2019 7:00:00 PM,191087.40,193451.50,175536.80
1/4/2019 1:00:00 AM,1/3/2019 8:00:00 PM,191326.70,193712.70,175536.80
1/4/2019 2:00:00 AM,1/3/2019 9:00:00 PM,190350.60,193208.60,175536.80
1/4/2019 3:00:00 AM,1/3/2019 10:00:00 PM,190086.80,193442.10,175536.80
1/4/2019 4:00:00 AM,1/3/2019 11:00:00 PM,189126.30,192512.70,175536.80
